method,parent_id,parent_smiles,product_smiles,transform,nearest_original_id,nearest_original_smiles,max_tanimoto_to_any_original,similarity_to_assigned_parent,similarity_bucket
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3ccnc4cc(-c5cc6nccc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)c6s5)sc34)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3659,0.2692,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3ccnc4cc(-c5cc6nccc(N7C(=O)C8C(C7=O)C8(C)C)c6s5)sc34)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3375,0.2979,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2179,0.3333,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2297,0.3793,low
fragment_growing,[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],COc1c(O)c(O)c(OC)c(OC)c1OC,core_plus_one_side_fragment,25191039,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,0.1852,0.2105,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2073,0.2973,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1538,0.3929,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1728,0.3333,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1928,0.2973,low
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1975,0.3143,low
