model,feature_set,mae,rmse,r2
random_forest_n500_leaf2_feat0p3_depth6,descriptors,1.0189793565352778,1.1423313634790304,0.011465846799940116
random_forest_n500_leaf2_feat0p3_depthnone,descriptors,1.0189793565352778,1.1423313634790304,0.011465846799940116
random_forest_n500_leaf2_feat0p3_depth6,morgan_1024,1.0191721207184632,1.1925382641797952,-0.07733835717475013
random_forest_n500_leaf2_feat0p3_depthnone,morgan_1024,1.0191721207184632,1.1925382641797952,-0.07733835717475013
elastic_net_a0.01_l10.2,morgan_512,1.0192072726828754,1.2867591875139788,-0.25430176245548197
random_forest_n200_leaf1_feat0p5_depthnone,morgan_512,1.0193710526315785,1.1962508876419742,-0.08405676247491356
random_forest_n500_leaf2_feat0p3_depth4,morgan_1024,1.0194654665831249,1.193089784312997,-0.07833507351940017
random_forest_n500_leaf2_feat0p3_depth4,descriptors,1.0195350323915853,1.1428944215394732,0.010491104590999889
random_forest_n200_leaf2_feat0p3_depth6,morgan_1024,1.0200539891395148,1.195905853821085,-0.08343150516614628
random_forest_n200_leaf2_feat0p3_depthnone,morgan_1024,1.0200539891395148,1.195905853821085,-0.08343150516614628
random_forest_n200_leaf1_featsqrt_depth4,morgan_2048,1.0202704643236877,1.162671586420607,-0.024051022014087042
random_forest_n500_leaf1_featsqrt_depth6,morgan_1024,1.0207138503075894,1.171363764528887,-0.039419948141467875
random_forest_n500_leaf1_featsqrt_depthnone,morgan_1024,1.0208915789473718,1.1712965974598637,-0.039300748979101074
random_forest_n200_leaf2_feat0p3_depth4,morgan_1024,1.0209026963241434,1.1973222268527794,-0.08599935259333158
random_forest_n200_leaf1_feat0p5_depth6,morgan_512,1.021741613693324,1.197970080851616,-0.08717490810063855
random_forest_n500_leaf1_featsqrt_depth4,descriptors_plus_morgan_2048,1.0224172326854437,1.1530128555506305,-0.0071073740410505515
random_forest_n200_leaf1_featsqrt_depth4,morgan_1024,1.0227436073648568,1.1645519166676552,-0.027365992784170734
knn_k3_uniform,morgan_512,1.023157894736842,1.224684707007868,-0.13620335232857506
random_forest_n500_leaf1_feat0p3_depthnone,descriptors_plus_similarity_plus_morgan_512,1.0238715789473674,1.1778837999520468,-0.051023373620368684
random_forest_n200_leaf2_feat0p3_depth4,descriptors,1.02403711523126,1.153660612918779,-0.008239268565368052
random_forest_n500_leaf1_feat0p3_depth6,descriptors_plus_similarity_plus_morgan_512,1.0244140001139204,1.1783100037353667,-0.05178411280538886
random_forest_n200_leaf2_feat0p3_depth6,descriptors,1.0244918959330143,1.154058067387973,-0.008934097230955063
random_forest_n200_leaf2_feat0p3_depthnone,descriptors,1.0244918959330143,1.154058067387973,-0.008934097230955063
random_forest_n500_leaf1_feat0p3_depth4,morgan_2048,1.024814438993754,1.2280704902067208,-0.14249436886963585
elastic_net_a1_l10.5,morgan_2048,1.0251667223700105,1.1183914823612437,0.052465179610452495
elastic_net_a1_l10.5,descriptors_plus_morgan_2048,1.0251668646849368,1.11839169953664,0.05246481161539285
elastic_net_a1_l10.5,descriptors_plus_similarity_plus_morgan_2048,1.0251668646849368,1.11839169953664,0.05246481161539285
random_forest_n200_leaf1_feat0p5_depth4,morgan_512,1.0256200744723105,1.1972720995222186,-0.08590842116692987
random_forest_n500_leaf1_featsqrt_depth4,morgan_1024,1.0258667255726746,1.168707892294263,-0.03471186837765372
elastic_net_a0.01_l10.2,descriptors_plus_similarity_plus_morgan_1024,1.0259075961303126,1.2904886122831511,-0.26158300512218924
knn_k5_uniform,morgan_1024,1.026,1.265570393558822,-0.2133332242135193
elastic_net_a0.01_l10.2,descriptors_plus_morgan_1024,1.0260064560512387,1.2906592478346353,-0.2619166541632254
random_forest_n200_leaf1_feat0p5_depth6,descriptors,1.026348640350878,1.1848132714478743,-0.06342605630046094
knn_k5_distance,descriptors_plus_morgan_1024,1.026623829756496,1.2500281215624505,-0.1837147070754097
random_forest_n500_leaf1_feat0p5_depthnone,morgan_512,1.0267094736842097,1.2060294245166654,-0.10185205111843576
random_forest_n200_leaf1_feat0p3_depthnone,descriptors_plus_similarity_plus_morgan_512,1.0269236842105267,1.1826452960140714,-0.059537895470142876
elastic_net_a0.05_l10.2,morgan_512,1.0270255175192844,1.292460362589135,-0.2654411205847773
random_forest_n200_leaf1_feat0p3_depth6,descriptors_plus_similarity_plus_morgan_512,1.027129740259741,1.1828554062292407,-0.059914406519390395
random_forest_n200_leaf1_feat0p3_depthnone,morgan_512,1.0274026315789477,1.2008090770831403,-0.09233387284163119
random_forest_n200_leaf1_featsqrt_depth4,descriptors_plus_morgan_2048,1.027482297234928,1.1600920165622877,-0.019512026195158905
random_forest_n500_leaf1_feat0p5_depth6,descriptors_plus_morgan_512,1.0274933045112784,1.19431299523437,-0.08054732514060725
random_forest_n500_leaf1_feat0p3_depthnone,morgan_2048,1.0275989473684208,1.2301557835878907,-0.14637762912441477
random_forest_n500_leaf1_feat0p3_depth6,morgan_2048,1.0280416842105262,1.2306571021310766,-0.14731217330631985
random_forest_n500_leaf1_feat0p5_depthnone,descriptors_plus_morgan_512,1.0283284210526318,1.1948660671212883,-0.08154833362963587
random_forest_n200_leaf1_feat0p5_depthnone,descriptors,1.0284105263157903,1.1857408439230595,-0.06509178858707543
elastic_net_a0.1_l10.2,descriptors_plus_morgan_1024,1.028569455271274,1.2869904538190249,-0.2547526685835857
elastic_net_a0.1_l10.2,descriptors_plus_similarity_plus_morgan_1024,1.0285835701192783,1.2870161209012176,-0.25480271737909743
random_forest_n500_leaf2_feat0p3_depth6,descriptors_plus_morgan_512,1.0286804502923974,1.1785853200860064,-0.05227567647302611
