method,parent_id,parent_smiles,product_smiles,transform
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,C[C@H]1CNCC[C@H]1c1cc2nccc(-c3ccnc4cc(-c5cc6nccc([C@@H]7CCNC[C@@H]7C)c6s5)sc34)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,C[C@H]1CNCC[C@H]1c1cc2nccc(-c3ccnc4cc([C@@H]5CCNC[C@@H]5C)sc34)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,C[C@H]1CNCC[C@H]1c1cc2nccc([C@@H]3CCNC[C@@H]3C)c2s1,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],C[C@H]1CNCC[C@H]1c1ccccc1-c1ccccc1-c1ccccc1[C@@H]1CCNC[C@@H]1C,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],C[C@H]1CNCC[C@H]1c1ccccc1-c1ccccc1[C@@H]1CCNC[C@@H]1C,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],C[C@H]1CNCC[C@H]1c1ccccc1[C@@H]1CCNC[C@@H]1C,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,C[C@H]1CNCC[C@H]1c1ccnc2cc(-c3cc4nccc(-c5cc6nccc([C@@H]7CCNC[C@@H]7C)c6s5)c4s3)sc12,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,C[C@H]1CNCC[C@H]1c1ccnc2cc(-c3cc4nccc([C@@H]5CCNC[C@@H]5C)c4s3)sc12,core_plus_one_side_fragment
fragment_growing,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,C[C@H]1CNCC[C@H]1n1c(-c2nc3c(Cl)cccc3c(=O)n2-c2nc3c(Cl)cccc3c(=O)n2[C@@H]2CCNC[C@@H]2C)nc2c(Cl)cccc2c1=O,core_plus_one_side_fragment
fragment_growing,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,C[C@H]1CNCC[C@H]1n1c(-c2nc3c(Cl)cccc3c(=O)n2[C@@H]2CCNC[C@@H]2C)nc2c(Cl)cccc2c1=O,core_plus_one_side_fragment
fragment_growing,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,C[C@H]1CNCC[C@H]1n1c(-n2c(-n3c([C@@H]4CCNC[C@@H]4C)nc4c(Cl)cccc4c3=O)nc3c(Cl)cccc3c2=O)nc2c(Cl)cccc2c1=O,core_plus_one_side_fragment
fragment_growing,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,C[C@H]1CNCC[C@H]1n1c(-n2c([C@@H]3CCNC[C@@H]3C)nc3c(Cl)cccc3c2=O)nc2c(Cl)cccc2c1=O,core_plus_one_side_fragment
fragment_growing,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,[9*]n1c([14*])nc2c(Cl)cccc2c1=O,C[C@H]1CNCC[C@H]1n1c([C@@H]2CCNC[C@@H]2C)nc2c(Cl)cccc2c1=O,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc(C#N)cc4)c3C)c2C)c(C)n1-c1ccc(C#N)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc(Cl)c(Cl)c4)c3C)c2C)c(C)n1-c1ccc(Cl)c(Cl)c1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc(Cl)cc4)c3C)c2C)c(C)n1-c1ccc(Cl)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc(F)cc4)c3C)c2C)c(C)n1-c1ccc(F)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc(O)cc4)c3C)c2C)c(C)n1-c1ccc(O)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccc5nc6c(c(Cl)c5c4)CCCC6)c3C)c2C)c(C)n1-c1ccc2nc3c(c(Cl)c2c1)CCCC3,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4cccc(Br)n4)c3C)c2C)c(C)n1-c1cccc(Br)n1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(-c4ccccc4)c3C)c2C)c(C)n1-c1ccccc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cc(C)n(CCC(=O)O)c3C)c2C)c(C)n1CCC(=O)O,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc(C#N)cc3)c2C)c(C)n1-c1ccc(C#N)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc(Cl)c(Cl)c3)c2C)c(C)n1-c1ccc(Cl)c(Cl)c1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc(Cl)cc3)c2C)c(C)n1-c1ccc(Cl)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc(F)cc3)c2C)c(C)n1-c1ccc(F)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc(O)cc3)c2C)c(C)n1-c1ccc(O)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccc4nc5c(c(Cl)c4c3)CCCC5)c2C)c(C)n1-c1ccc2nc3c(c(Cl)c2c1)CCCC3,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3cccc(Br)n3)c2C)c(C)n1-c1cccc(Br)n1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(-c3ccccc3)c2C)c(C)n1-c1ccccc1,core_plus_one_side_fragment
