parent_id,parent_smiles,product_smiles,generation_depth,transform,max_tanimoto_to_any_original,nearest_original_id,nearest_original_smiles,mw,logp,tpsa,hbd,hba,rotb,rings,fsp3,formal_charge,qed,sa_score,alert_count,nearest_parent_pIC50,sim,sim_score,potency_score,qed_score,sa_norm,logp_score,tpsa_score,mw_score,composite_score
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1cnc(C#N)nc1,2,heteroatom_CH_to_N,0.7091,CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,339.39900000000006,1.3952200000000001,95.04,1,6,4,3,0.4444444444444444,0,0.846077114456643,2.7063879394733465,0,4.67,0.7091,0.7954999999999998,0.6689655172413791,0.846077114456643,0.9161108398495276,0.36146363636363654,0.8174545454545453,0.5258764705882356,0.7579881607994233
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cccc2c(=O)n1CC(=O)NCc1ccncc1OC,2,rxn_acid_to_amide_methylamine,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,443.89100000000025,1.4484999999999992,115.21000000000001,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.524345082912742,0,5.1,0.7042,0.7710000000000002,0.9655172413793098,0.5441259383969728,0.8640985951179263,0.385681818181818,0.45072727272727253,0.8594647058823515,0.7573629771314829
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CC(C)Oc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,3,rxn_phenol_o_isopropyl,0.6857,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,441.4590000000002,2.6564000000000005,110.52000000000001,2,5,9,3,0.30434782608695654,0,0.5282855879158356,2.3718573344443374,0,5.1,0.6857,0.6784999999999999,0.9655172413793098,0.5282855879158356,0.8205306669840964,0.9347272727272731,0.5359999999999998,0.8737705882352931,0.7569659210237372
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cccc2c(=O)n1CC(=O)NCc1cnccc1OC,2,rxn_acid_to_amide_methylamine,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,443.89100000000025,1.4484999999999992,115.21000000000001,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.510381157183298,0,5.1,0.7042,0.7710000000000002,0.9655172413793098,0.5441259383969728,0.8601089020523709,0.385681818181818,0.45072727272727253,0.8594647058823515,0.7567645231716497
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ncc(C#N)cn1,2,heteroatom_CH_to_N,0.7091,CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,339.39900000000006,1.3952200000000001,95.04,1,6,4,3,0.4444444444444444,0,0.846077114456643,2.666200466945874,0,4.67,0.7091,0.7954999999999998,0.6689655172413791,0.846077114456643,0.9046287048416782,0.36146363636363654,0.8174545454545453,0.5258764705882356,0.756265840548246
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CCOc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,3,rxn_phenol_o_ethyl,0.6857,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,427.4320000000001,2.2679,110.52000000000001,2,5,9,3,0.2727272727272727,0,0.5420913229235417,2.2863169662018663,0,5.1,0.6857,0.6784999999999999,0.9655172413793098,0.5420913229235417,0.7960905617719618,0.7581363636363637,0.5359999999999998,0.956282352941176,0.751357095024207
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,1,mmp_aryl_Cl_to_F,0.8125,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,413.4050000000001,1.8778,110.52000000000001,2,5,8,3,0.23809523809523808,0,0.5834674883208161,2.238667439331598,0,5.1,0.8125,0.6875,0.9655172413793098,0.5834674883208161,0.7824764112375995,0.5808181818181819,0.5359999999999998,0.9612058823529417,0.7512204729031868
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cncc2c(=O)n1CC(=O)NCc1ccccc1OC,2,rxn_acid_to_amide_methylamine,0.7,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,443.89100000000025,1.4484999999999997,115.21,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.494580626679321,0,5.1,0.7,0.7499999999999998,0.9655172413793098,0.5441259383969728,0.8555944647655203,0.3856818181818181,0.45072727272727287,0.8594647058823515,0.7508373575786221
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(=O)N1CCCCC1)c1ccc(S(=O)(=O)N2CCC(c3ccc(F)cc3)CC2)cn1,2,rxn_acid_to_amide_piperidine,0.6562,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,488.58500000000026,2.5313000000000008,99.68,1,5,6,4,0.4583333333333333,0,0.6737348761501305,2.356061028981303,0,5.15,0.6562,0.531,1.0,0.6737348761501305,0.816017436851801,0.8778636363636368,0.733090909090909,0.5965588235294101,0.750275259206994
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)ncnc2c1=O,2,heteroatom_CH_to_N,0.7206,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5071952545705289,2.54504326350742,0,5.1,0.7206,0.8530000000000001,0.9655172413793098,0.5071952545705289,0.87001236100212,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7496822207568448
