feature_set,model,mae,rmse,r2
base_graph_spectral,enet_mid,1.19017474453859,1.4470793965219275,-0.5863251038560724
graph_descriptors,enet_loose,1.0773408868575978,1.4495548668527864,-0.5917570926578157
base_plus_similarity,knn_1,0.9721052631578947,1.4720429770614,-0.6415286091168768
base_plus_torsion,knn_1,0.978421052631579,1.4722753604003922,-0.6420469282352557
base_plus_maccs,pls_2,1.1317019667673867,1.4984865967332124,-0.7010348148712258
base_plus_similarity,knn_3_dist,1.2619161810458757,1.5016997728217572,-0.7083376288288321
graph_spectral,enet_loose,1.2279837728903606,1.507669007099978,-0.7219458547986912
maccs,pls_2,1.1865417479549436,1.5219677927587902,-0.7547627280969631
similarity,rf,1.3734087719298238,1.5351007724126728,-0.7851768951966647
torsion,enet_mid,1.3481234691876154,1.562181787951055,-0.848717778884539
base_plus_graph,enet_mid,1.2627340654132893,1.564265825476824,-0.853653654054185
base_plus_torsion,enet_mid,1.3558407414858735,1.5763498101398705,-0.8824032953722503
torsion,knn_1,1.11,1.5800449693800356,-0.8912388120713375
graph_spectral,knn_1,1.0842105263157895,1.5834273286965708,-0.8993445256687578
base_graph_spectral,knn_1,1.0321052631578946,1.5963890173566224,-0.9305672719458837
graph_descriptors,knn_1,1.0815789473684212,1.6056200638612126,-0.9529586578598586
base_plus_spectral,knn_1,1.0936842105263158,1.6201916715720948,-0.988567181292499
similarity,extra_trees,1.4244228070175429,1.6408701628719775,-1.0396512358588423
similarity,knn_3_dist,1.4663922000341674,1.684095268453622,-1.148526864113229
base_plus_maccs,enet_mid,1.4793094111318095,1.7515961091327035,-1.3242102947827847
maccs,enet_mid,1.4692323207749372,1.7551490120664424,-1.3336486218070265
base_descriptors,enet_loose,1.47365119429748,1.79385050656789,-1.4376983987273886
maccs,enet_loose,1.5056565182222592,1.8556896616348666,-1.6086641708190283
similarity,svr_rbf,1.72239758426338,1.860544377557214,-1.6223312073653644
base_plus_maccs,enet_loose,1.546679914120335,1.8785437955183912,-1.673314942021101
similarity,knn_1,1.6768421052631581,1.9646132604555775,-1.9238939657582028
base_plus_spectral,enet_loose,1.6001608704883366,1.9677764095068802,-1.9333168461898635
base_plus_similarity,enet_loose,1.7302134502550661,2.0220030355989587,-2.0972130707610037
base_graph_spectral,enet_loose,2.0197544331021624,2.8478572007289613,-5.143896550016559
base_plus_graph,enet_loose,2.123476926655724,3.524186632279164,-8.40860586491259
