variant,feature_set,model,evaluation,mae,rmse,r2
dedup_rows,base_morgan3_512,svr_rbf,loocv,1.0649627435365492,1.1853553626910085,-0.06439938407232604
dedup_rows,base_graph_morgan3_512,rf,loocv,1.0546649122807024,1.185358526092472,-0.06440506528349421
raw_rows,base_morgan3_512,knn3_dist_euclid,loocv,0.8764696795637821,1.1636166166678215,-0.06492240859454457
dedup_rows,base_graph_morgan2_256_sim,rf,loocv,1.0561157894736841,1.1857100158784124,-0.06503640672088484
dedup_rows,base_graph_morgan3_512_sim,svr_rbf,loocv,1.0671841421276869,1.1857264296609868,-0.06506589352082104
raw_rows,base_graph_morgan2_256_sim,gpr_rbf,loocv,1.0008766900706136,1.164521572381299,-0.06657945327154513
raw_rows,base,gpr_rbf,loocv,0.9857881658391163,1.1649854624966225,-0.0674293717700698
raw_rows,base_graph_morgan2_512,gpr_rbf,loocv,1.0011306412060252,1.1650206417421007,-0.067493839401781
dedup_rows,graph_morgan3_512,rf,loocv,1.051794736842106,1.187278904970157,-0.06785670752271145
raw_rows,morgan3_512,knn3_dist_euclid,loocv,0.8784567527595375,1.1659280003587975,-0.06915728962458867
raw_rows,morgan2_512,gpr_matern,loocv,1.009168084963122,1.165959205989161,-0.06921452158686114
raw_rows,base_graph_morgan2_256_sim,knn3_dist_euclid,loocv,0.8840367022530586,1.166279405095141,-0.06980186382373166
dedup_rows,base_morgan2_256,enet,loocv,0.9556296271093178,1.189154924146808,-0.07123401402642648
raw_rows,base_graph_morgan2_512_sim,gpr_rbf,loocv,1.0032933073052204,1.1672462737211478,-0.07157637275389894
dedup_rows,graph_morgan2_256,svr_rbf,loocv,1.0674736438360695,1.1893737602818364,-0.07162832140685449
raw_rows,maccs,gpr_rbf,loocv,1.0138607433958997,1.167933134691028,-0.07283787267609276
raw_rows,morgan2_256,gpr_matern,loocv,1.009349212733429,1.1683568564151798,-0.073616456929674
dedup_rows,base_graph_morgan3_512_sim,extra,loocv,1.017891228070176,1.1907717104112736,-0.07414891400603207
dedup_rows,graph_morgan2_256,rf,loocv,1.0484789473684217,1.1910207094550782,-0.07459818570821497
dedup_rows,morgan3_512,ridge,loocv,1.0179293233077278,1.1918502931470247,-0.0760956904811183
dedup_rows,graph_morgan3_512,svr_rbf,loocv,1.0711324847180441,1.1926680899472533,-0.07757293898484385
dedup_rows,base_graph_spectral,knn3_dist_euclid,loocv,1.0039411835674108,1.1934827354865303,-0.07904550255443721
raw_rows,base_morgan2_256,gpr_rbf,loocv,1.0089020652607112,1.1721259613174304,-0.08055457712169334
